,station_name,station_id,lat,lng,_merge
264,Sterling Pl & Rochester Ave,3925.03,40.671292901,-73.928265214,right_only
265,Sterling Pl & Rochester Ave,3925.03,40.67128,-73.92825,left_only
266,Eastern Pkwy & Washington Ave,3928.08,40.6716493,-73.9631145,both
267,Bay St & Court St,3931.09,40.671409,-74.001328,both
268,Sterling Pl & Schenectady Ave,3934.06,40.671639562,-73.933793545,right_only
269,Sterling Pl & Schenectady Ave,3934.06,40.6716,-73.93378,left_only
270,Troy Ave & Park Pl,3934.07,40.67251,-73.93642,both
271,Sigourney St & Columbia St,3940.04,40.672758341,-74.009120703,right_only
272,Sigourney St & Columbia St,3940.04,40.67267243410948,-74.0087952464819,left_only
273,St. Johns Pl & Kingston Ave,3943.03,40.67113,-73.94222,both
274,1 St & 6 Ave,3946.07,40.672784,-73.979826,left_only
275,1 St & 6 Ave,3946.07,40.67270577,-73.979571581,right_only
276,Park Pl & Thomas S. Boyland St,3950.03,40.67154,-73.91433,both
277,Lincoln Pl & Nostrand Ave,3952.07,40.67077,-73.9507,both
278,Sterling Pl & Ralph Ave,3958.02,40.670949578,-73.922121048,right_only
279,Sterling Pl & Ralph Ave,3958.02,40.67095,-73.92222,left_only
280,Lincoln Pl & Classon Ave,3960.01,40.6721683,-73.9609,both
281,St Johns Pl & Utica Ave,3966.01,40.6705,-73.9308,both
282,Park Pl & Utica Ave,3966.03,40.67242,-73.93094,both
283,Henry St & Bay St,3972.08,40.6725058,-74.00494695,left_only
284,Henry St & Bay St,3972.08,40.672557116,-74.004868627,right_only
285,Albany Ave & Park Pl,3975.02,40.67297,-73.93896,both
286,Garfield Pl & 8 Ave,3978.13,40.6711978,-73.97484126,left_only
287,Garfield Pl & 8 Ave,3978.13,40.671253085,-73.974982262,right_only
288,Dwight St & Van Dyke St,3981.10,40.67363551341504,-74.01195555925369,both
289,Sterling Pl & New York Ave,3984.02,40.67234,-73.94763,left_only
290,Sterling Pl & New York Ave,3984.02,40.672438383,-73.947624087,right_only
291,5 Ave & 3 St,3987.06,40.6728155,-73.98352355,both
292,Prospect Pl & Howard Ave,3991.04,40.67261,-73.91977,left_only
293,Prospect Pl & Howard Ave,3991.04,40.672651887,-73.919869781,right_only
294,Sterling Pl & Bedford Ave,3993.03,40.672750115,-73.95405519,right_only
295,Sterling Pl & Bedford Ave,3993.03,40.672695,-73.954131,left_only
296,7 St & 3 Ave,3996.01,40.67260298150126,-73.98983001708984,both
297,Park Pl & Buffalo Ave,3999.06,40.67202,-73.92539,both
298,St Johns Pl & Washington Ave,4001.09,40.673779249,-73.963487506,right_only
299,St Johns Pl & Washington Ave,4001.09,40.6737236,-73.9631611,left_only
300,Schenectady Ave & Prospect Pl,4007.01,40.67351,-73.93363,both
301,Plaza St East & Flatbush Ave,4010.01,40.673134,-73.969106,both
302,Plaza St West & Flatbush Ave,4010.13,40.6750207,-73.97111473,left_only
303,Plaza St West & Flatbush Ave,4010.13,40.674935579,-73.971224189,right_only
304,Grand Army Plaza & Plaza St West,4010.15,40.6729679,-73.97087984,both
305,Columbia St & Lorraine St,4013.08,40.6747055,-74.0075572,left_only
306,Columbia St & Lorraine St,4013.08,40.674840927,-74.007492781,right_only
307,Pacific St & Sackman St,4014.01,40.67522,-73.9061,both
308,Kingston Ave & Park Pl,4016.03,40.67308,-73.94191,both
309,Carroll St & 6 Ave,4019.06,40.6740886,-73.9787282,left_only
310,Carroll St & 6 Ave,4019.06,40.674060106,-73.97855413,right_only
311,St Marks Ave & Thomas S. Boyland St,4023.01,40.673153996,-73.913836718,right_only
312,St Marks Ave & Thomas S. Boyland St,4023.01,40.67313,-73.91387,left_only
313,Pacific St & Thomas S. Boyland St,4023.05,40.67568,-73.91396,both
314,Prospect Pl & Nostrand Ave,4025.02,40.67428,-73.9503,left_only
315,Prospect Pl & Nostrand Ave,4025.02,40.674295187,-73.95038116,right_only
316,3 St & 3 Ave,4028.03,40.6750705,-73.98775226,both
317,4 Ave & 3 St,4028.04,40.673746,-73.985649,both
318,St Marks Ave & Ralph Ave,4031.05,40.673711419,-73.921810985,right_only
319,St Marks Ave & Ralph Ave,4031.05,40.67372,-73.92199,left_only
320,Park Pl & Franklin Ave,4033.06,40.674191356,-73.95641923,right_only
321,Park Pl & Franklin Ave,4033.06,40.6741806,-73.9564947,left_only
322,St Marks Ave & Rochester Ave,4039.04,40.67404,-73.92772,both
323,Underhill Ave & Lincoln Pl,4042.08,40.6740123,-73.9671457,both
324,Clinton St & Centre St,4045.01,40.67434,-74.00194698,both
325,Bergen St & Troy Ave,4048.03,40.67524,-73.93596,both
326,Berkeley Pl & 7 Ave,4051.01,40.675146838709786,-73.97523209452629,left_only
327,Berkeley Pl & 7 Ave,4051.01,40.675256491,-73.975397706,right_only
328,Wolcott St & Dwight St,4054.02,40.675363064,-74.010107756,right_only
329,Wolcott St & Dwight St,4054.02,40.6753274,-74.0100698,left_only
330,Bergen St & Mother Gaston Blvd,4055.04,40.67374,-73.90852,both
331,Brooklyn Ave & Prospect Pl,4057.04,40.674224257,-73.944526553,right_only
332,Brooklyn Ave & Prospect Pl,4057.04,40.67412,-73.94447,left_only
333,Carroll St & 5 Ave,4060.09,40.6751622,-73.9814832,left_only
334,Carroll St & 5 Ave,4060.09,40.67531693,-73.981575251,right_only
335,Bergen St & Saratoga Ave,4064.03,40.674219012,-73.916534543,right_only
336,Bergen St & Saratoga Ave,4064.03,40.67423,-73.91656,left_only
337,Bedford Ave & Bergen St,4066.15,40.676505089,-73.952906132,right_only
338,Bedford Ave & Bergen St,4066.15,40.676368,-73.952918,left_only
339,Bergen St & Buffalo Ave,4072.02,40.674718261,-73.925131321,right_only
340,Bergen St & Buffalo Ave,4072.02,40.6747,-73.92512,left_only
341,Classon Ave & St Marks Ave,4074.14,40.675905824,-73.959685087,right_only
342,Classon Ave & St Marks Ave,4074.14,40.676513,-73.959431,left_only
343,Smith St & 9 St,4077.04,40.6746957,-73.99785768,both
344,Court St & Nelson St,4077.07,40.6763947,-73.99869893,both
345,Schenectady Ave & Pacific St,4080.01,40.67686,-73.93327,both
346,Columbia St & W 9 St,4086.05,40.6769993,-74.00647134,both
347,Henry St & W 9 St,4086.06,40.676374,-74.00325,left_only
348,Henry St & W 9 St,4086.06,40.676444292,-74.003185153,right_only
349,Van Sinderen Ave & Atlantic Ave,4087.01,40.67621,-73.90351,both
350,Bergen St & Kingston Ave,4089.01,40.6756,-73.9415,both
351,Van Brunt St & Wolcott St,4095.03,40.6773429,-74.01275056,both
352,Van Brunt St & Van Dyke St,4095.10,40.675833,-74.014726,right_only
