station_name,station_id,lat,lng,_merge
Prospect Pl & 6 Ave,4166.08,40.6793307,-73.97519523,left_only
Pioneer St & Van Brunt St,4169.04,40.679043,-74.011169,both
Somers St & Rockaway Ave,4170.08,40.67872,-73.91105,left_only
Herkimer St & New York Ave,4172.04,40.67955,-73.94709,both
Douglass St & 4 Ave,4175.14,40.6792788,-73.98154004,both
Union St & 4 Ave,4175.15,40.6772744,-73.98282002,left_only
Fulton St & Saratoga Ave,4179.03,40.67853,-73.91642,left_only
Brevoort Pl & Bedford Ave,4181.10,40.68012,-73.95362,both
Carroll St & Bond St,4184.07,40.6786115,-73.99037292,both
Sumpter St & Fulton St,4187.04,40.67923,-73.92588,both
Grand Ave & Bergen St,4190.06,40.678045,-73.962408,left_only
1 Pl & Clinton St,4193.14,40.6809591,-73.99905709,left_only
Lewis Ave & Fulton St,4196.01,40.67972,-73.93467,left_only
Chauncey St & Stuyvesant Ave,4196.05,40.68012,-73.93168,both
Carlton Ave & St Marks Ave,4199.13,40.67911856082165,-73.97176265716553,left_only
Richards St & Delavan St,4202.04,40.6794327,-74.00785041,both
Somers St & Broadway,4203.04,40.67945,-73.90474,both
Kingston Ave & Herkimer St,4205.06,40.67890679,-73.94142771,left_only
Sterling Pl & 5 Ave,4208.01,40.678970070475735,-73.97855266928671,both
MacDougal St & Rockaway Ave,4212.01,40.68018,-73.91136,left_only
Macon St & Nostrand Ave,4214.03,40.6809833854,-73.9500479759,both
Douglass St & 3 Ave,4217.02,40.6802133,-73.98432695,left_only
Degraw St & 3 Ave,4217.06,40.67977,-73.9847,both
Ralph Ave & Fulton St,4220.02,40.67922,-73.92192,both
Lefferts Pl & Franklin Ave,4222.02,40.680342423,-73.9557689392,left_only
Carroll St & Smith St,4225.14,40.680611,-73.99475825,both
Fulton St & Utica Ave,4228.02,40.6794268,-73.9298911,both
Chauncey St & Malcolm X Blvd,4228.06,40.68044,-73.92842,both
Underhill Ave & Pacific St,4231.04,40.6804836,-73.9646795,left_only
Lewis Ave & Decatur St,4237.01,40.6814598,-73.934903,both
Albany Ave & Fulton St,4237.02,40.6800105,-73.938475,both
Commerce St & Van Brunt St,4243.01,40.6812117,-74.00860912,both
Broadway & Furman Ave,4244.06,40.68139,-73.90756,left_only
MacDonough St & Marcy Ave,4246.02,40.68078,-73.94613,both
St Marks Pl & 4 Ave,4249.10,40.68177810928762,-73.97988975048065,both
