station_name,count_of_starts,trip_duration,est_trip_distance_miles,count_of_end_destinations
65 Pl & Woodside Ave,187.0,10.047593582887702,0.8600534759358289,186
65 St & 2 Ave,27.0,29.709876543209877,1.798888888888889,31
65 St & 35 Ave,324.0,18.511882716049385,1.226141975308642,325
65 St & Broadway,289.0,16.539561707035755,1.3619723183391004,299
65 St & Otto Rd,133.0,13.197368421052632,1.1290225563909775,129
65 St & Roosevelt Ave,186.0,14.32016129032258,1.1488172043010754,190
67 Ave & Fresh Pond Rd,332.0,11.309287148594377,1.134457831325301,319
67 St & Erik Pl,227.0,21.922246696035245,1.0506167400881057,222
69 St & 38 Ave,270.0,17.41907407407407,1.5782222222222222,273
69 St & 43 Ave,217.0,13.831182795698926,1.1592165898617512,224
7 Ave & 17 St,562.0,12.926838671411625,1.241085409252669,572
7 Ave & 20 St,501.0,10.659846972721224,1.070059880239521,507
7 Ave & 22 St,251.0,11.327290836653386,1.2282470119521913,254
7 Ave & 40 St,381.0,19.663910761154856,1.273727034120735,368
7 Ave & 41 St,727.0,16.6276020174232,1.3581568088033011,724
7 Ave & 62 St,251.0,15.054316069057105,1.2163745019920318,261
7 Ave & Central Park South,8259.0,25.560977923073818,1.1439024094926746,8300
7 Ave & Park Pl,3381.0,11.442758552696441,1.0791984619934931,3385
7 Ave & W 55 St,2354.0,16.271197960917586,1.1682795242141037,2137
7 Ave S & Bleecker St,5403.0,13.995579616262571,1.1220470109198593,5445
7 St & 3 Ave,1127.0,12.785122744750074,1.2694321206743568,1137
7 St & 5 Ave,1454.0,11.63617606602476,1.0280742778541954,1460
71 Ave & Myrtle Ave,311.0,17.993729903536977,1.449710610932476,325
72 St & 41 Ave,758.0,15.901561125769568,1.2498416886543535,773
72 St & Woodside Ave,406.0,16.6559934318555,1.295935960591133,404
76 St & 21 Ave,254.0,13.853937007874016,0.9638188976377953,257
8 Ave & W 16 St,8716.0,11.086224567844578,0.9840282239559432,8772
8 Ave & W 24 St,3361.0,11.967023703262917,0.9235614400476049,3385
8 Ave & W 27 St,2726.0,12.50904255319149,1.0036206896551725,2683
8 Ave & W 31 St,6311.0,13.033531400200708,1.0980383457455238,6328
8 Ave & W 33 St,6775.0,11.343468634686348,0.9827881918819189,6731
8 Ave & W 38 St,6937.0,13.911388208159147,1.105232809571861,6932
8 Ave & W 49 St,6015.0,14.006442227763923,1.087940149625935,5437
8 Ave & W 52 St,4427.0,13.713888261426098,1.1018070928393946,4438
8 St & Astoria Blvd,522.0,12.39521072796935,1.031015325670498,517
8 St & Washington St,,,,1
9 Ave & W 18 St,5255.0,11.794969869965112,1.0729571836346337,5279
9 Ave & W 204 St,37.0,12.385135135135135,0.7086486486486486,35
9 Ave & W 219 St,46.0,18.397826086956524,1.8360869565217393,48
9 Ave & W 22 St,7337.0,10.588267230021353,0.9774267411748672,7355
9 Ave & W 39 St,3882.0,11.835278207109738,1.065623390005152,3917
9 Ave & W 45 St,5096.0,12.821323914181058,1.106862244897959,5125
9 St & 44 Rd,679.0,16.2080265095729,1.2441237113402062,677
9 St HBLR - Jackson St & 8 St,,,,1
Academy St & Nagle Ave,174.0,14.649425287356323,1.285632183908046,175
Adam Clayton Powell Blvd & W 115 St,1316.0,12.234207193515704,1.0482750759878419,1327
Adam Clayton Powell Blvd & W 118 St,1472.0,13.002660778985508,1.054116847826087,1487
Adam Clayton Powell Blvd & W 123 St,1698.0,13.859314880251278,1.0797232037691402,1721
